Request_ID,Latency_ms,Fidelity
0,0.4000,0.949813
1,0.4000,0.949813
2,2.5001,0.810340
3,1.9001,0.877459
4,1.1000,0.877794
5,1.8000,0.876790
6,5.9001,0.804912
7,0.8000,0.878296
8,2.9001,0.809444
9,1.5000,0.877125
10,1.5000,0.877794
11,2.9001,0.811013
16,4.5001,0.949813
21,0.4000,0.949813
22,0.4000,0.949813
52,2.4001,0.949813
61,1.5000,0.877125
76,0.5000,0.949813
87,2.0001,0.949813
90,2.8001,0.949813
103,2.3001,0.875955
122,1.1000,0.877794
156,0.5000,0.949813
182,1.0000,0.949813
193,1.0000,0.949813
216,2.3000,0.876790
259,2.1000,0.812661
297,0.5000,0.949813
