Request_ID,Latency_ms,Fidelity
0,4.6001,0.696456
1,3.1000,0.701846
2,1.1000,0.878464
3,2.9001,0.810340
4,0.4000,0.949813
5,1.9000,0.754824
6,7.1001,0.687265
7,0.8000,0.949813
8,2.8001,0.875121
10,3.4001,0.808326
12,1.1000,0.877794
14,1.8000,0.876790
15,1.2000,0.949813
18,1.5000,0.877125
20,1.1000,0.877794
25,0.5000,0.949813
31,0.5000,0.949813
33,0.7000,0.878464
37,2.0001,0.949813
38,1.6001,0.949813
71,3.1001,0.876456
75,2.3001,0.875955
87,1.2000,0.949813
160,0.4000,0.949813
185,1.6001,0.949813
211,2.0000,0.949813
248,1.6000,0.949813
294,1.0000,0.949813
880,0.8000,0.949813
