Request_ID,Latency_ms,Fidelity
0,1.3000,0.877627
1,1.2000,0.786013
2,2.1000,0.776271
4,1.2000,0.761755
5,2.5001,0.800459
11,1.7000,0.793081
13,1.3000,0.858623
15,0.3000,0.924281
30,1.0000,0.949813
31,2.5001,0.949813
38,0.2000,0.947295
43,1.2000,0.759389
57,0.3000,0.947313
70,0.2000,0.908825
89,0.3000,0.901815
95,0.3000,0.948420
158,0.2000,0.920921
187,0.4000,0.949813
201,2.3000,0.875955
238,0.3000,0.896903
300,1.0000,0.949813
321,0.3000,0.862412
689,0.2000,0.956997
903,2.8001,0.949813
1063,2.9000,0.811013
1065,2.9001,0.810949
1066,2.4000,0.812361
1075,2.7001,0.875288
1078,1.2000,0.949813
1106,1.2000,0.949813
1456,0.3000,0.832310
