Request_ID,Latency_ms,Fidelity
0,1.9001,0.876456
1,3.7001,0.807954
2,1.4000,0.813261
3,2.9001,0.810340
4,2.4000,0.753479
5,1.1000,0.878464
6,1.3000,0.878464
9,1.5000,0.878464
10,0.4000,0.949813
11,0.8000,0.878296
12,1.5000,0.877125
13,1.3000,0.877627
20,5.9001,0.804321
22,5.6001,0.694673
31,2.5001,0.949813
44,1.5000,0.877125
45,0.5000,0.949813
63,1.1000,0.877794
70,2.3001,0.875955
79,2.9000,0.752004
85,2.3001,0.875955
90,0.8000,0.878464
105,0.5000,0.949813
193,2.8001,0.949813
418,0.4000,0.949813
489,2.0001,0.949813
550,1.2000,0.949813
593,1.0000,0.949813
676,0.4000,0.949813
728,0.5000,0.949813
