Request_ID,Latency_ms,Fidelity
0,1.3000,0.857952
1,1.2000,0.697647
7,0.5000,0.876610
8,0.6000,0.838403
10,0.3000,0.949149
11,1.7000,0.795907
18,3.0001,0.949813
22,1.1000,0.877794
38,0.2000,0.915310
43,1.2000,0.774321
55,1.2000,0.715742
88,2.3001,0.879805
107,0.5000,0.949813
115,0.3000,0.879632
215,0.8000,0.885698
265,0.5000,0.714788
337,0.3000,0.822610
402,0.2000,0.890895
599,0.2000,0.738840
751,0.8000,0.949813
752,0.8000,0.878464
753,2.1000,0.811756
755,3.1001,0.874621
756,1.1000,0.876427
757,3.1001,0.875788
758,0.5000,0.949813
852,2.0000,0.949813
959,0.2000,0.951000
