Request_ID,Latency_ms,Fidelity
0,1.6001,0.949813
1,2.2001,0.812436
2,1.6001,0.949813
3,2.3000,0.875955
4,4.9001,0.806543
5,2.9001,0.809519
6,5.4001,0.746016
7,0.4000,0.949813
8,0.5000,0.949813
9,2.2000,0.812436
10,5.1001,0.694259
11,1.1000,0.877794
12,4.1001,0.696694
13,0.8000,0.949813
14,1.8000,0.878464
20,0.4000,0.949813
21,2.1000,0.812136
26,1.5000,0.877292
27,1.2000,0.949813
34,1.1000,0.877794
36,2.0000,0.949813
41,1.9000,0.876456
50,0.7000,0.878464
73,0.5000,0.949813
87,1.0000,0.949813
98,1.2000,0.949813
111,1.2000,0.949813
112,0.4000,0.949813
125,3.8001,0.875955
