Request_ID,Latency_ms,Fidelity
0,1.8000,0.881390
1,1.7000,0.803889
2,1.1000,0.785357
3,0.6000,0.843280
4,2.5001,0.810340
5,2.3001,0.875788
6,2.1000,0.776060
7,0.6000,0.856444
8,1.3000,0.877576
27,0.2000,0.922675
32,0.3000,0.923106
35,0.5000,0.833585
43,0.8000,0.949813
56,0.5000,0.850661
61,0.3000,0.947812
81,0.3000,0.940962
84,0.3000,0.938858
99,1.5000,0.949813
200,0.3000,0.956863
233,0.3000,0.905521
390,1.0000,0.949813
1512,2.0000,0.949813
1515,1.4000,0.813261
1520,1.3000,0.876600
1522,0.8000,0.949813
1524,2.9001,0.811013
1535,2.9001,0.809370
1536,0.4000,0.949813
3101,0.8000,0.949813
3104,0.5000,0.949813
