Request_ID,Latency_ms,Fidelity
0,5.9001,0.800784
1,1.2000,0.949813
2,1.6001,0.949813
3,1.0000,0.949813
4,0.4000,0.949813
5,3.1001,0.875788
6,1.5000,0.877125
7,1.3000,0.878464
8,2.9001,0.808699
9,2.5001,0.753479
10,2.6000,0.811911
11,0.5000,0.949813
12,2.5001,0.949813
15,2.3000,0.875955
16,2.1000,0.810938
19,0.8000,0.949813
23,4.5001,0.697051
45,1.5000,0.949813
72,1.0000,0.949813
85,0.4000,0.949813
107,0.5000,0.949813
108,2.5001,0.811537
171,3.8001,0.875955
192,1.3000,0.877627
283,0.5000,0.949813
295,0.4000,0.949813
