Request_ID,Latency_ms,Fidelity
0,1.3000,0.878464
1,2.5001,0.809743
2,2.9000,0.752138
3,1.1000,0.877961
4,2.9000,0.809743
5,1.1000,0.877794
6,2.8001,0.875121
8,1.5000,0.949813
11,3.0001,0.949813
13,1.0000,0.949813
14,0.4000,0.949813
15,0.4000,0.949813
18,1.5000,0.877125
19,5.9001,0.801519
25,3.8001,0.875955
31,1.8000,0.876790
41,3.6000,0.699442
42,2.7001,0.875121
48,0.8000,0.949813
62,0.8000,0.949813
69,0.4000,0.949813
81,2.0001,0.949813
89,1.5000,0.877125
126,1.6001,0.949813
155,0.5000,0.949813
170,1.4000,0.813637
298,2.0001,0.949813
367,1.1000,0.878464
502,0.4000,0.949813
541,1.5000,0.949813
668,2.0001,0.949813
724,0.5000,0.949813
966,0.5000,0.949813
1208,0.8000,0.949813
