Request_ID,Latency_ms,Fidelity
0,1.6001,0.949813
1,1.1000,0.765037
2,1.6001,0.949813
3,2.3000,0.875955
4,1.2000,0.767870
5,1.2000,0.761208
6,5.4001,0.745355
7,0.4000,0.949813
8,0.3000,0.924912
9,1.7000,0.793657
11,1.1000,0.876939
16,1.3000,0.877627
20,0.4000,0.949813
26,1.1000,0.850787
27,0.2000,0.921728
28,0.2000,0.946988
36,0.3000,0.943128
50,0.5000,0.864177
56,0.2000,0.931857
271,0.2000,0.861261
897,1.7000,0.755632
899,0.8000,0.949813
900,4.1001,0.697171
901,0.5000,0.949813
906,0.4000,0.949813
907,2.9001,0.809817
917,1.0000,0.949813
918,1.5000,0.949813
922,2.2001,0.813637
1861,1.5000,0.878464
1879,0.8000,0.949813
