Request_ID,Latency_ms,Fidelity
0,2.6001,0.816035
1,0.2000,0.939915
2,1.1000,0.785357
3,0.5000,0.839336
4,1.2000,0.785487
5,1.2000,0.775374
6,2.5001,0.949813
7,2.1000,0.775306
8,1.6000,0.876557
21,0.9000,0.857703
22,0.5000,0.949813
26,1.4000,0.815458
27,1.1000,0.789414
38,0.2000,0.947940
39,0.8000,0.884664
84,0.5000,0.949813
91,2.0001,0.949813
126,0.3000,0.949043
365,2.8001,0.949813
1198,1.9000,0.755362
1199,1.7000,0.755093
1201,0.8000,0.878296
1202,2.9000,0.809905
1210,1.3000,0.877627
1239,0.8000,0.949813
2483,0.8000,0.949813
2494,0.8000,0.949813
2495,0.5000,0.949813
2502,2.8001,0.949813
2503,0.5000,0.949813
