Request_ID,Latency_ms,Fidelity
0,1.0000,0.949813
1,1.6000,0.813412
2,4.1001,0.698245
3,2.9001,0.809743
4,1.3000,0.878464
5,5.9001,0.801519
6,3.3001,0.874288
7,2.8001,0.875121
8,0.8000,0.949813
9,2.0000,0.949813
10,1.9000,0.876456
11,0.8000,0.878464
19,2.9001,0.809444
22,3.6001,0.949813
24,0.4000,0.949813
35,1.8000,0.876790
42,3.3001,0.810116
48,2.5001,0.811537
65,2.1000,0.812661
69,1.1000,0.877794
71,1.3000,0.813337
88,1.1000,0.877794
322,2.3000,0.875955
347,1.6000,0.949813
366,1.0000,0.949813
428,1.0000,0.949813
648,1.0000,0.949813
684,0.4000,0.949813
781,0.8000,0.949813
803,0.7000,0.878464
1735,0.8000,0.949813
