Request_ID,Latency_ms,Fidelity
0,1.9000,0.793538
1,1.8000,0.876623
2,2.5000,0.791574
4,0.9000,0.862166
5,0.8000,0.877866
6,2.6001,0.769383
7,2.6001,0.791116
10,1.1000,0.749292
13,0.2000,0.925627
20,0.3000,0.944275
21,0.5000,0.870934
22,0.3000,0.913409
27,1.0000,0.949813
36,0.7000,0.874751
37,0.3000,0.938104
44,1.5000,0.949813
47,0.5000,0.949813
67,3.9001,0.752994
68,1.2000,0.949813
72,0.4000,0.949813
186,0.3000,0.829365
338,0.3000,0.840489
446,1.8000,0.876790
447,5.4001,0.802034
449,0.8000,0.878464
452,1.7000,0.752607
453,0.7000,0.878464
455,2.3001,0.877627
456,0.8000,0.949813
