Request_ID,Latency_ms,Fidelity
0,5.0001,0.949813
1,7.1001,0.642318
2,1.5000,0.949813
3,2.9001,0.809444
4,3.3001,0.874788
5,0.5000,0.949813
6,2.6001,0.812361
7,1.1000,0.877794
8,2.9001,0.752138
9,0.7000,0.878464
10,0.8000,0.949813
11,2.9001,0.811013
12,2.4000,0.753748
14,1.9000,0.754824
15,1.5000,0.949813
19,2.3001,0.875955
21,1.8000,0.876790
41,2.9001,0.811761
45,0.5000,0.949813
46,1.9001,0.877459
48,1.0000,0.949813
56,0.4000,0.949813
60,0.8000,0.878464
69,1.6000,0.949813
73,0.8000,0.949813
78,1.0000,0.949813
96,0.4000,0.949813
110,1.5000,0.949813
111,0.4000,0.949813
132,1.0000,0.949813
176,1.6000,0.949813
