Request_ID,Latency_ms,Fidelity
0,1.3000,0.877627
1,2.4000,0.754151
2,6.9002,0.687790
3,2.9000,0.753479
4,2.4000,0.754151
5,4.4001,0.804764
11,3.9001,0.806691
18,2.5001,0.949813
25,2.4000,0.811761
26,2.3000,0.875955
31,1.5000,0.949813
38,1.2000,0.949813
56,2.7001,0.875121
69,4.1001,0.697111
74,0.5000,0.949813
107,2.0001,0.949813
115,2.0001,0.949813
116,1.2000,0.949813
143,2.0001,0.949813
199,2.0000,0.949813
223,3.1001,0.875121
265,1.5000,0.877125
293,2.3001,0.876790
337,0.5000,0.949813
402,0.4000,0.949813
599,1.2000,0.949813
701,0.4000,0.949813
758,0.5000,0.949813
881,1.3000,0.877627
959,0.8000,0.949813
