Request_ID,Latency_ms,Fidelity
0,0.6000,0.844728
1,2.5001,0.772754
2,1.4000,0.740345
3,0.6000,0.857004
6,2.8001,0.875121
7,0.2000,0.947506
8,0.3000,0.946624
14,0.2000,0.920631
25,2.3000,0.878464
31,0.6000,0.814382
42,0.5000,0.802375
48,0.8000,0.949813
55,5.6001,0.674577
81,0.3000,0.890950
89,0.5000,0.764227
126,0.2000,0.919736
298,0.3000,0.781644
502,0.8000,0.949813
541,0.3000,0.821230
600,1.3000,0.878464
601,1.0000,0.949813
602,2.6001,0.812498
603,1.8000,0.876790
604,1.1000,0.877794
611,0.8000,0.949813
1121,0.2000,0.706033
1247,0.4000,0.949813
1253,1.4000,0.809912
1254,0.8000,0.873743
