Request_ID,Latency_ms,Fidelity
0,2.9001,0.725530
1,1.1000,0.765037
2,1.7000,0.795135
4,5.4001,0.711987
5,0.5000,0.837108
6,2.5000,0.791920
8,1.1000,0.876866
12,2.1000,0.809864
16,1.2000,0.771558
30,0.3000,0.945291
32,0.5000,0.844435
63,0.2000,0.904951
74,0.2000,0.919391
93,1.8000,0.876790
122,0.2000,0.876610
171,0.3000,0.927768
400,0.2000,0.794800
753,1.4000,0.813111
755,3.7001,0.751335
759,2.3001,0.877125
762,1.0000,0.949813
765,2.1000,0.812361
772,0.5000,0.949813
1548,2.7001,0.875288
1556,0.8000,0.878464
1573,0.2000,0.943785
