Request_ID,Latency_ms,Fidelity
0,1.9001,0.876456
1,1.1000,0.877794
2,1.9000,0.877125
3,1.9000,0.878464
4,5.5001,0.649497
5,1.8000,0.877627
6,0.5000,0.949813
7,1.9000,0.812511
9,3.1001,0.811911
12,2.9001,0.809146
13,2.1000,0.811836
14,2.2001,0.812511
15,1.0000,0.949813
17,1.8000,0.877627
19,0.4000,0.949813
22,3.1001,0.874455
26,4.1001,0.809668
31,1.5000,0.877292
33,1.9001,0.876456
43,1.3000,0.877627
51,1.2000,0.949813
52,1.6000,0.949813
57,2.3001,0.877627
65,0.8000,0.949813
81,2.3001,0.876790
129,1.2000,0.949813
155,0.5000,0.949813
255,1.0000,0.949813
298,1.2000,0.949813
304,0.4000,0.949813
440,0.4000,0.949813
556,1.0000,0.949813
939,1.0000,0.949813
