delta,latency_ms,pre_ready_rate,compiler_fidelity_at_use,delivered_fidelity,expiry_percent,fallback_rate,preparation_attempts,rejection_count,paired_latency_minus_delta2_ms
1,0.9108729002365091,0.22566949266585923,0.7861093665111197,0.9128330055165923,56.63282802261524,0.7742834073475979,2871.733333333333,3664.4666666666667,-0.0021855327788992017
2,0.9086873674576099,0.22852240613645539,0.8267341064875853,0.9216312202218304,54.584061297605714,0.7712017225137936,1729.1666666666667,1425.1,0.0
3,0.9438622368493472,0.18823173193379086,0.8389994322039127,0.9288940080394013,54.853202400281525,0.8114654824384336,1231.9333333333334,931.5333333333333,-0.035174869391737335
4,0.9597240585674875,0.16917642309245054,0.769893425438319,0.9193607945975716,55.57251206510758,0.8308168483380434,1124.0333333333333,648.7,-0.051036691109877526
5,0.9794697784554569,0.14477190149374242,0.6889936032322803,0.912035256642025,57.86764791880241,0.8552213699367515,985.1333333333333,554.8333333333334,-0.07078241099784689
6,0.9942745118173867,0.12774862064325124,0.6389524109448458,0.9100905320349625,59.88731442122072,0.8722446507872427,877.7,446.03333333333336,-0.08558714435977664
