backend,policy,seeds,requests_per_seed,latency_ms_mean,latency_ms_ci95_low,latency_ms_ci95_high,ready_rate_mean,delivered_fidelity_mean,prepared_fidelity_at_use_mean,expiry_percent_mean,fallback_rate_mean
ACE,odg,30,4954,1.1042158198654286,1.100372310869725,1.1080593288611322,,0.949813357734806,,0.0,
ACE,cgp,30,4954,0.5477292194547166,0.5439024755650154,0.5515559633444179,,0.8623422744654907,0.8374542975412667,74.27254672430848,
ACE,acgp,30,4954,0.47629827582330775,0.4732667198863522,0.4793298317602633,,0.8506502127759021,0.8359647189785674,74.00871459348623,
ACE,fixed,30,4954,0.6584706108957744,0.6543362947485654,0.6626049270429835,0.5192235230789934,0.8652723414863711,0.7871465144670633,18.65750977094516,0.48063517696137803
ACE,dynamic,30,4954,0.615906190676423,0.6125731829950082,0.6192391983578379,0.5683488090431974,0.8972389014960437,0.8574964806845612,14.316612616315986,0.4313685910375454
native,odg,30,4954,0.07645080709917912,0.07599164267965743,0.07690997151870081,0.0,0.9498133563538411,,0.0,1.0
native,fixed,30,4954,0.005091533785668147,0.004915107059216502,0.005267960512119793,0.922258107926255,0.7486309743231134,0.7486309743231134,0.0,0.04255820212622796
native,dynamic,30,4954,0.019884590446063787,0.019563045938932985,0.02020613495319459,0.6895034315704481,0.8838009304948878,0.8838009304948878,0.0,0.17435742161216525
