implementation,strategy,trace_sha256,trials,latency_ms_mean,latency_ms_sample_sd,latency_ms_ci95_low,latency_ms_ci95_high,pre_ready_rate_mean,pre_ready_rate_sample_sd,pre_ready_rate_ci95_low,pre_ready_rate_ci95_high,fidelity_at_use_mean,fidelity_at_use_sample_sd,fidelity_at_use_ci95_low,fidelity_at_use_ci95_high,expiry_percentage_mean,expiry_percentage_ci95_low,expiry_percentage_ci95_high
ACE + SeQUeNCe 0.8.1,odg,61d97492195aea40fad48d5bc4e1b48b2dd019eea20fe24aada8c954e3073da1,10,1.1054384120468308,0.013043720298003967,1.0961074973236118,1.1147693267700498,0.0,0.0,0.0,0.0,0.949813357734806,0.0,0.949813357734806,0.949813357734806,0.0,0.0,0.0
ACE + SeQUeNCe 0.8.1,fixed,61d97492195aea40fad48d5bc4e1b48b2dd019eea20fe24aada8c954e3073da1,10,0.9261688374818329,0.011288272810677054,0.9180936941513692,0.9342439808122965,0.20748889786031488,0.007310614765792462,0.2022591994770742,0.21271859624355557,0.8141098498695752,0.002422585356776587,0.8123768368290196,0.8158428629101309,2.1103507343658405,1.8970946313771626,2.3236068373545185
ACE + SeQUeNCe 0.8.1,dynamic,61d97492195aea40fad48d5bc4e1b48b2dd019eea20fe24aada8c954e3073da1,10,0.9223152033074283,0.01038675444901671,0.9148849673164264,0.9297454392984302,0.21431166733952361,0.0035182762810740628,0.21179484428586998,0.21682849039317725,0.8195340260964701,0.0020004921126766505,0.8181029603513149,0.8209650918416252,2.002822698036378,1.885532700032968,2.1201126960397882
Native SeQUeNCe,odg,61d97492195aea40fad48d5bc4e1b48b2dd019eea20fe24aada8c954e3073da1,10,0.20946505754380298,0.004545113521810293,0.20621367943154376,0.2127164356560622,0.0,0.0,0.0,0.0,0.9498133563538411,0.0,0.9498133563538411,0.9498133563538411,0.0,0.0,0.0
Native SeQUeNCe,fixed,61d97492195aea40fad48d5bc4e1b48b2dd019eea20fe24aada8c954e3073da1,10,0.3135499579080541,0.007552937104698401,0.30814691257868115,0.3189530032374271,0.4218409366168753,0.004422262409304401,0.4186774408900288,0.42500443234372176,0.8630423774030941,0.0011702810187211971,0.8622052088546731,0.8638795459515151,0.0,0.0,0.0
Native SeQUeNCe,dynamic,61d97492195aea40fad48d5bc4e1b48b2dd019eea20fe24aada8c954e3073da1,10,0.35244923026192976,0.008346532130276328,0.34647848129132097,0.35841997923253854,0.3046427129592249,0.005694930218521123,0.3005688055915673,0.3087166203268825,0.919290749529528,0.0007807664455612787,0.9187322229009405,0.9198492761581156,0.0,0.0,0.0
