configuration,strategy,seeds,completion_rate_n,completion_rate_mean,completion_rate_sample_sd,completion_rate_standard_error,completion_rate_ci95_low,completion_rate_ci95_high,average_request_latency_ms_n,average_request_latency_ms_mean,average_request_latency_ms_sample_sd,average_request_latency_ms_standard_error,average_request_latency_ms_ci95_low,average_request_latency_ms_ci95_high,average_delivered_epr_fidelity_n,average_delivered_epr_fidelity_mean,average_delivered_epr_fidelity_sample_sd,average_delivered_epr_fidelity_standard_error,average_delivered_epr_fidelity_ci95_low,average_delivered_epr_fidelity_ci95_high,pregenerated_success_rate_n,pregenerated_success_rate_mean,pregenerated_success_rate_sample_sd,pregenerated_success_rate_standard_error,pregenerated_success_rate_ci95_low,pregenerated_success_rate_ci95_high,on_demand_fallback_rate_n,on_demand_fallback_rate_mean,on_demand_fallback_rate_sample_sd,on_demand_fallback_rate_standard_error,on_demand_fallback_rate_ci95_low,on_demand_fallback_rate_ci95_high,compiler_expiry_percentage_n,compiler_expiry_percentage_mean,compiler_expiry_percentage_sample_sd,compiler_expiry_percentage_standard_error,compiler_expiry_percentage_ci95_low,compiler_expiry_percentage_ci95_high,compiler_waste_percentage_n,compiler_waste_percentage_mean,compiler_waste_percentage_sample_sd,compiler_waste_percentage_standard_error,compiler_waste_percentage_ci95_low,compiler_waste_percentage_ci95_high,average_compiler_fidelity_at_utilization_n,average_compiler_fidelity_at_utilization_mean,average_compiler_fidelity_at_utilization_sample_sd,average_compiler_fidelity_at_utilization_standard_error,average_compiler_fidelity_at_utilization_ci95_low,average_compiler_fidelity_at_utilization_ci95_high,average_compiler_storage_time_ms_n,average_compiler_storage_time_ms_mean,average_compiler_storage_time_ms_sample_sd,average_compiler_storage_time_ms_standard_error,average_compiler_storage_time_ms_ci95_low,average_compiler_storage_time_ms_ci95_high
dynamic,dynamic,"0,1,2,3,4,5,6,7,8,9",10,1.0,0.0,0.0,1.0,1.0,10,0.9223152033074283,0.01038675444901671,0.0032845801555780067,0.9148849673164264,0.9297454392984302,10,0.9218611242575971,0.0005870927685036093,0.00018565503462853695,0.9214411434214269,0.9222811050937674,10,0.21431166733952361,0.0035182762810740628,0.0011125766485940794,0.21179484428586998,0.21682849039317725,10,0.7856883326604764,0.0035182762810740597,0.0011125766485940785,0.7831715096068228,0.7882051557141301,10,2.002822698036378,0.16396012321310036,0.051848743479524215,1.885532700032968,2.1201126960397882,10,2.002822698036378,0.16396012321310036,0.051848743479524215,1.885532700032968,2.1201126960397882,10,0.8195340260964701,0.0020004921126766505,0.0006326111517260416,0.8181029603513149,0.8209650918416252,10,84.5637449468723,2.1292797188808583,0.6733373687266545,83.04055010484572,86.08693978889889
dynamic-cap2,dynamic,"0,1,2,3,4,5,6,7,8,9",10,1.0,0.0,0.0,1.0,1.0,10,1.0038401795286638,0.013541611839042027,0.004282233660127424,0.9941530946787709,1.0135272643785567,10,0.9428687775032074,0.00047756483765538064,0.0001510192617399549,0.9425271482231276,0.9432104067832873,10,0.11677432377876465,0.003063162330800709,0.0009686569808160384,0.11458306960901278,0.11896557794851652,10,0.8832256762212353,0.00306316233080071,0.0009686569808160388,0.8810344220514834,0.8854169303909871,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,10,0.8905439719036394,0.0032229292212474525,0.001019179707665469,0.8882384273936861,0.8928495164135928,10,34.58744651679891,2.0060065518054615,0.6343549704925813,33.15243597981433,36.0224570537835
fixed,fixed,"0,1,2,3,4,5,6,7,8,9",10,1.0,0.0,0.0,1.0,1.0,10,0.9354365016673395,0.012420267556792519,0.003927633462815908,0.9265515781359962,0.9443214251986828,10,0.8441118983759651,0.001929290143315498,0.000610095112018965,0.8427317674476457,0.8454920293042846,10,0.19305611626968106,0.002730174598932205,0.0008633570142562477,0.19110306715638217,0.19500916538297994,10,0.806943883730319,0.0027301745989322147,0.0008633570142562507,0.8049908346170201,0.8088969328436179,10,5.013660141342793,0.5592704267289518,0.17685683764378005,4.613582208069053,5.413738074616534,10,5.013660141342793,0.5592704267289518,0.17685683764378005,4.613582208069053,5.413738074616534,10,0.4023659541754883,0.0023679197119086865,0.0007488019606041184,0.400672046578694,0.40405986177228265,10,626.6335574620151,5.414227560089205,1.7121290860338043,622.7604526651402,630.5066622588901
fixed-delta2,fixed,"0,1,2,3,4,5,6,7,8,9",10,1.0,0.0,0.0,1.0,1.0,10,0.9261688374818329,0.011288272810677054,0.0035696652931090167,0.9180936941513692,0.9342439808122965,10,0.9216231776725173,0.0011644459231369242,0.0003682301329210041,0.9207901832997192,0.9224561720453155,10,0.20748889786031488,0.007310614765792462,0.002311819375596259,0.2022591994770742,0.21271859624355557,10,0.7925111021396851,0.007310614765792465,0.00231181937559626,0.7872814037564444,0.7977408005229258,10,2.1103507343658405,0.298111497290269,0.09427113281203639,1.8970946313771626,2.3236068373545185,10,2.1103507343658405,0.298111497290269,0.09427113281203639,1.8970946313771626,2.3236068373545185,10,0.8141098498695752,0.002422585356776587,0.0007660887553585644,0.8123768368290196,0.8158428629101309,10,87.75585064039863,2.6998781926612434,0.8537764493828429,85.82447426899209,89.68722701180518
on-demand,on-demand,"0,1,2,3,4,5,6,7,8,9",10,1.0,0.0,0.0,1.0,1.0,10,1.1054384120468308,0.013043720298003967,0.0041247865303862775,1.0961074973236118,1.1147693267700498,10,0.949813357734806,0.0,0.0,0.949813357734806,0.949813357734806,10,0.0,0.0,0.0,0.0,0.0,10,1.0,0.0,0.0,1.0,1.0,10,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0,,,,,,0,,,,,
