baseline,configuration,paired_seeds,latency_difference_ms_n,latency_difference_ms_mean,latency_difference_ms_sample_sd,latency_difference_ms_standard_error,latency_difference_ms_ci95_low,latency_difference_ms_ci95_high,latency_reduction_percent_n,latency_reduction_percent_mean,latency_reduction_percent_sample_sd,latency_reduction_percent_standard_error,latency_reduction_percent_ci95_low,latency_reduction_percent_ci95_high
on-demand,dynamic,"0,1,2,3,4,5,6,7,8,9",10,-0.18312320873940252,0.008753600362169864,0.0027681314871331594,-0.18938515675994122,-0.17686126071886382,10,16.56266810930513,0.684067084677445,0.21632100599319953,16.073316031350572,17.052020187259686
on-demand,dynamic-cap2,"0,1,2,3,4,5,6,7,8,9",10,-0.10159823251816716,0.005882053716814609,0.0018600687064593221,-0.10580599996296505,-0.09739046507336926,10,9.191129131440045,0.5296988254237426,0.16750547622549314,8.812205445858211,9.570052817021878
on-demand,fixed,"0,1,2,3,4,5,6,7,8,9",10,-0.17000191037949133,0.005510296646028302,0.0017425087984636045,-0.17394373885549735,-0.1660600819034853,10,15.378916840590904,0.4699216022787097,0.14860225849164937,15.042755201328209,15.715078479853599
on-demand,fixed-delta2,"0,1,2,3,4,5,6,7,8,9",10,-0.179269574564998,0.01015968346390949,0.0032127740052303073,-0.1865373737703478,-0.17200177535964822,10,16.21373705539184,0.831405025452124,0.26291335385389747,15.618985771577767,16.80848833920591
