delta,latency_ms,pre_ready_rate,compiler_fidelity_at_use,delivered_fidelity,expiry_percent,fallback_rate,preparation_attempts,rejection_count,paired_latency_minus_delta2_ms
1,0.7208447100040372,0.4461041582559548,0.8741024962972103,0.9159556631053177,54.17362324564837,0.5537343560758983,3547.3,2488.733333333333,0.0848327823057462
2,0.8056774923097832,0.3477122863679182,0.8495935871035888,0.9148956220262783,55.16595597045037,0.6521464136724532,3313.9333333333334,2986.9666666666667,0.0
3,0.8468645219859372,0.2984793432916162,0.8458728280825745,0.9187304378502399,55.25946606679513,0.7013389853317185,2554.4333333333334,1960.5,-0.04118702967615396
4,0.8652658055951419,0.2779975777149778,0.8399051627162358,0.9192199150115861,55.467547734228084,0.7219956937155161,2064.5,1383.0333333333333,-0.05958831328535865
5,0.8900278141067823,0.2491522002422285,0.7872775757070424,0.9092916247662182,57.569528506242655,0.7508410711882654,1839.3666666666666,1192.6666666666667,-0.08435032179699906
6,0.9192315008229041,0.21542860987754003,0.7504326550180808,0.9068402880900562,58.82095893404535,0.7845646615529539,1649.3666666666666,1021.8333333333334,-0.11355400851312074
