backend,profile,strategy,n,latency_ms_mean,latency_ms_ci95_low,latency_ms_ci95_high,pre_ready_rate_mean,pre_ready_rate_ci95_low,pre_ready_rate_ci95_high,fidelity_at_use_mean,fidelity_at_use_ci95_low,fidelity_at_use_ci95_high,expiry_percent_mean,expiry_percent_ci95_low,expiry_percent_ci95_high,fallback_rate_mean,fallback_rate_ci95_low,fallback_rate_ci95_high,preparation_attempts_mean,preparation_attempts_ci95_low,preparation_attempts_ci95_high
ACE,full-odg-4,odg,30,1.1042158198654286,1.100372310869725,1.1080593288611322,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ACE,static-1plus1,dynamic,30,1.0096350230547706,1.0062446009736943,1.013025445135847,0.10969586865832323,0.10959173242314256,0.1098000048935039,0.8038812781229474,0.8036749955084094,0.8040875607374854,0.04289252956320809,0.01336729668593814,0.07241776244047804,0.8902570313551339,0.8901634973662955,0.8903505653439723,543.9,543.4576857913254,544.3423142086746
ACE,static-1plus1,fixed,30,1.000413170858902,0.9973114442097726,1.0035148975080312,0.12283003633427533,0.12273563385894155,0.12292443880960911,0.8551174444738022,0.8550230621424612,0.8552118268051433,0.0983606557377049,0.05404821772610358,0.14267309374930623,0.8769950208585655,0.8769408781189884,0.8770491635981427,609.9666666666667,609.8985,610.0348333333334
ACE,static-1plus1,matched-on-demand,30,1.1042158198654286,1.100372310869725,1.1080593288611322,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ACE,static-2plus2,dynamic,30,0.9789564015512717,0.9750260587906998,0.9828867443118436,0.14427398735028932,0.14386985279089132,0.14467812190968732,0.8798312995449264,0.8793299595270837,0.8803326395627692,0.046713567672877016,0.018140546742633098,0.07528658860312093,0.855638541246131,0.8552324003640472,0.8560446821282148,715.5,713.5445182010328,717.4554817989672
ACE,static-2plus2,fixed,30,0.9832359211768268,0.9792880724386733,0.9871837699149802,0.1406338312474768,0.14022048821624844,0.14104717427870517,0.856740118223099,0.8562238834299841,0.857256353016214,0.06194262032234676,0.028550447053269278,0.09533479359142424,0.8592854259184498,0.8588786746360249,0.8596921772008748,697.5333333333333,695.4679069943694,699.5987596722972
ACE,static-2plus2,matched-on-demand,30,1.1042158198654286,1.100372310869725,1.1080593288611322,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
ACE,static-3plus1,dynamic,30,0.8023116738564796,0.7994023593190492,0.80522098839391,0.35394294173058805,0.3534789086243719,0.35440697483680417,0.8212021084474705,0.8210334055183318,0.8213708113766093,0.055001205407382986,0.031696834072564004,0.07830557674220197,0.6458552011842282,0.6453790847538978,0.6463313176145586,1755.4,1752.9514908171725,1757.8485091828277
ACE,static-3plus1,fixed,30,0.8058746149209394,0.802593475714648,0.8091557541272307,0.34649441528730995,0.3462365598748847,0.3467522706997352,0.7833825302518339,0.783156518949372,0.7836085415542958,0.06010263941696411,0.03918385740178324,0.08102142143214497,0.6532902704884941,0.6530228202015285,0.6535577207754597,1718.6333333333334,1717.2836428306384,1719.9830238360285
ACE,static-3plus1,matched-on-demand,30,1.1042158198654286,1.100372310869725,1.1080593288611322,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
